key;fare_amount;pickup_datetime;Distance_km;passenger_count
2009-06-15 17:26:21.0000001;4,5;2009-06-15 17:26:21 UTC;0,324682;1
2010-01-05 16:52:16.0000002;16,9;2010-01-05 16:52:16 UTC;4,421256;1
2011-08-18 00:35:00.00000049;5,7;2011-08-18 00:35:00 UTC;1,022250;2
2012-04-21 04:30:42.0000001;7,7;2012-04-21 04:30:42 UTC;0,533364;1
2010-03-09 07:51:00.000000135;5,3;2010-03-09 07:51:00 UTC;1,375181;1
2011-01-06 09:50:45.0000002;12,1;2011-01-06 09:50:45 UTC;3,374483;1
2012-11-20 20:35:00.0000001;7,5;2012-11-20 20:35:00 UTC;0,745291;1
2012-01-04 17:22:00.00000081;16,5;2012-01-04 17:22:00 UTC;4,663475;1
2012-12-03 13:10:00.000000125;9;2012-12-03 13:10:00 UTC;1,608866;1
2009-09-02 01:11:00.00000083;8,9;2009-09-02 01:11:00 UTC;1,308105;2
2009-06-15 17:26:21.0000001;4,5;2009-06-15 17:26:21 UTC;0,324682;1
2010-01-05 16:52:16.0000002;16,9;2010-01-05 16:52:16 UTC;4,421256;1
2011-08-18 00:35:00.00000049;5,7;2011-08-18 00:35:00 UTC;1,022250;2
2012-04-21 04:30:42.0000001;7,7;2012-04-21 04:30:42 UTC;0,533364;1
2010-03-09 07:51:00.000000135;5,3;2010-03-09 07:51:00 UTC;1,375181;1
2011-01-06 09:50:45.0000002;12,1;2011-01-06 09:50:45 UTC;3,374483;1
2012-11-20 20:35:00.0000001;7,5;2012-11-20 20:35:00 UTC;0,745291;1
2012-01-04 17:22:00.00000081;16,5;2012-01-04 17:22:00 UTC;4,663475;1
2012-12-03 13:10:00.000000125;9;2012-12-03 13:10:00 UTC;1,608866;1
2009-09-02 01:11:00.00000083;8,9;2009-09-02 01:11:00 UTC;1,308105;2
